Loading core dump: .\Order.API-11.dmp ...
Statistics:
          MT  Count  TotalSize Class Name
7ffcd1cb8988      1         24 Microsoft.OpenApi.Any.IOpenApiAny[]
7ffcd1f47d58      1         24 System.Net.Http.RequestQueue<System.Net.Http.HttpConnection>+QueueItem[]
7ffcd1f48040      1         24 System.Net.Http.RequestQueue<System.Net.Http.Http2Connection>+QueueItem[]
7ffcd1c2fcd8      1         24 System.Text.Json.Serialization.Metadata.ReflectionEmitCachingMemberAccessor+Cache<System.ValueTuple<System.String, System.Type, System.Reflection.MemberInfo>>+<>c__6<System.Func<System.Object, System.Collections.Generic.IReadOnlyList<Microsoft.WebTools.ApiEndpointDiscovery.Contracts.EndpointParameter>>>
7ffcd1c50500      1         24 System.Text.Json.Serialization.Metadata.ReflectionEmitCachingMemberAccessor+Cache<System.ValueTuple<System.String, System.Type, System.Reflection.MemberInfo>>+<>c__6<System.Action<System.Object, System.Collections.Generic.IReadOnlyList<Microsoft.WebTools.ApiEndpointDiscovery.Contracts.EndpointParameter>>>
7ffcd1cd5580      1         24 System.Text.RegularExpressions.RegexFindOptimizations+<>c
7ffcd1cd7000      1         24 System.Text.RegularExpressions.RegexPrefixAnalyzer+<>c
7ffcd0a511a0      1         24 Microsoft.Extensions.Diagnostics.Metrics.Configuration.MetricsConfigureOptions
7ffcd0a50d00      1         24 Microsoft.Extensions.Diagnostics.Metrics.Configuration.MetricsConfiguration
7ffcd0a53380      1         24 Microsoft.AspNetCore.Builder.WebApplicationBuilder+<>c
7ffcd0a538f8      1         24 Microsoft.Extensions.Hosting.GenericHostWebHostBuilderExtensions+<>c
7ffcd0a55a38      1         24 Microsoft.AspNetCore.WebHost+<>c
7ffcd0a57490      1         24 Microsoft.AspNetCore.Hosting.WebHostBuilderSocketExtensions+<>c
7ffcd0a57990      1         24 Microsoft.AspNetCore.Hosting.WebHostBuilderKestrelExtensions+<>c
7ffcd0a58170      1         24 Microsoft.AspNetCore.Hosting.WebHostBuilderNamedPipeExtensions+<>c
7ffcd0a58388      1         24 Microsoft.AspNetCore.Hosting.WebHostBuilderQuicExtensions+<>c__DisplayClass1_0
7ffcd0aa2368      1         24 System.Collections.Generic.GenericEqualityComparer<System.Guid>
7ffcd0aa2b68      1         24 System.Net.NetEventSource+<>c
7ffcd0aa4c50      1         24 System.Diagnostics.Metrics.MeterListener[]
7ffcd0aa5000      1         24 System.Collections.Generic.ObjectEqualityComparer<System.Diagnostics.Metrics.Instrument>
7ffcd0aa7cf8      1         24 Microsoft.AspNetCore.Hosting.WebHostBuilderQuicExtensions+<>c
