Loading core dump: .\Order.API-3.dmp ...
Statistics:
          MT   Count  TotalSize Class Name
7ffcf3a5d940       1         24 Microsoft.Extensions.Hosting.HostBuilder+<>c
7ffcf3a624e8       1         24 Microsoft.Extensions.DependencyInjection.LoggingServiceCollectionExtensions+<>c
7ffcf3a63118       1         24 Microsoft.Extensions.Logging.DefaultLoggerLevelConfigureOptions
7ffcf3a63b98       1         24 Microsoft.Extensions.Logging.DefaultLoggerLevelConfigureOptions+<>c__DisplayClass0_0
7ffcf3a54e10       1         24 Microsoft.Extensions.Hosting.HostApplicationBuilder+LoggingBuilder
7ffcf3a551a8       1         24 Microsoft.Extensions.Hosting.HostApplicationBuilder+MetricsBuilder
7ffcf3a6be00       1         24 Microsoft.Extensions.Hosting.HostingHostBuilderExtensions+<>c
7ffcf3a6c150       1         24 Microsoft.Extensions.Logging.FilterLoggingBuilderExtensions+<>c__DisplayClass4_0<Microsoft.Extensions.Logging.EventLog.EventLogLoggerProvider>
7ffcf3a6cfb8       1         24 Microsoft.Extensions.Logging.LoggerFilterConfigureOptions
7ffcf3a6cb48       1         24 Microsoft.Extensions.Logging.Configuration.LoggingConfiguration
7ffcf3ab46d8       1         24 Microsoft.Extensions.Logging.LoggerFilterRule[]
7ffcf3ab57f8       1         24 Microsoft.Extensions.Diagnostics.Metrics.Configuration.MetricsConfigureOptions
7ffcf3ab5358       1         24 Microsoft.Extensions.Diagnostics.Metrics.Configuration.MetricsConfiguration
7ffcf3ab79d8       1         24 Microsoft.AspNetCore.Builder.WebApplicationBuilder+<>c
7ffcf3ab7f50       1         24 Microsoft.Extensions.Hosting.GenericHostWebHostBuilderExtensions+<>c
7ffcf3aba090       1         24 Microsoft.AspNetCore.WebHost+<>c
7ffcf3abbae8       1         24 Microsoft.AspNetCore.Hosting.WebHostBuilderSocketExtensions+<>c
7ffcf3abbfe8       1         24 Microsoft.AspNetCore.Hosting.WebHostBuilderKestrelExtensions+<>c
